Phase,Blue,Red,Score,Winner,Patch,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1,RP2,BP2,BP3,RP3,RB4,BB4,RB5,BB5,RP4,BP4,BP5,RP5,BR1,BR2,BR3,BR4,BR5,RR1,RR2,RR3,RR4,RR5,SB,VOD
LCS/2021 Season/Lock In/Picks and Bans/Individual Games,TSM,Team Liquid,0 - 1,2,11.1,Twisted Fate,Pantheon,Taliyah,Olaf,Renekton,Lulu,Lillia,Camille,Galio,Kai'Sa,Syndra,Nidalee,Alistar,Aphelios,Gangplank,Samira,Miss Fortune,Gnar,Leona,Nautilus,Jungle,Bot,Mid,Top,Support,Top,Mid,Jungle,Bot,Support,SB,https,//youtu.be/hsIMYwSeXIo?t=424
LCS/2021 Season/Lock In/Picks and Bans/Individual Games,FlyQuest,Evil Geniuses.NA,1 - 0,1,11.1,Renekton,Taliyah,Kai'Sa,Pantheon,Nidalee,None,Olaf,Graves,Aphelios,Gragas,Miss Fortune,Thresh,Alistar,Gnar,Gangplank,LeBlanc,Ornn,Seraphine,Akali,Twisted Fate,Jungle,Top,Bot,Support,Mid,Jungle,Bot,Support,Top,Mid,SB,https,//youtu.be/uyA6rSkXf2I?t=96
LCS/2021 Season/Lock In/Picks and Bans/Individual Games,Golden Guardians,100 Thieves,0 - 1,2,11.1,Twisted Fate,Taliyah,Galio,Pantheon,Thresh,Olaf,Lillia,Kai'Sa,Nidalee,Aphelios,Sett,Renekton,Gangplank,Leona,Gnar,Rell,Akali,Quinn,Alistar,Gragas,Jungle,Bot,Mid,Top,Support,Bot,Jungle,Top,Mid,Support,SB,https,//youtu.be/2IQC0US0Zb8?t=119
LCS/2021 Season/Lock In/Picks and Bans/Individual Games,Cloud9,Dignitas,1 - 0,1,11.1,Camille,Olaf,Renekton,Pantheon,Graves,Lucian,Taliyah,Aphelios,Lillia,Alistar,Kai'Sa,Thresh,Twisted Fate,Aatrox,Yone,Gragas,Gangplank,Jayce,Orianna,Syndra,Jungle,Support,Bot,Top,Mid,Bot,Jungle,Support,Top,Mid,SB,https,//youtu.be/iZ0RJjXRyUg?t=625
LCS/2021 Season/Lock In/Picks and Bans/Individual Games,Team Liquid,Golden Guardians,1 - 0,1,11.1,Taliyah,Pantheon,Galio,Olaf,Akali,Samira,Nidalee,Kai'Sa,Syndra,Aphelios,Thresh,Graves,Renekton,Leona,Yone,Alistar,Nautilus,Orianna,Gangplank,Ornn,Jungle,Bot,Support,Mid,Top,Bot,Mid,Jungle,Support,Top,SB,https,//youtu.be/p4iNJrctRiY?t=133
LCS/2021 Season/Lock In/Picks and Bans/Individual Games,TSM,Counter Logic Gaming,1 - 0,1,11.1,Twisted Fate,Pantheon,Taliyah,Orianna,Gnar,Viktor,Olaf,Kai'Sa,Syndra,Azir,Jhin,Graves,Thresh,Sett,Lulu,Rell,Renekton,Ornn,Maokai,Alistar,Jungle,Mid,Bot,Top,Support,Bot,Mid,Jungle,Top,Support,SB,https,//youtu.be/nTZbpUvpJNQ?t=72
LCS/2021 Season/Lock In/Picks and Bans/Individual Games,Dignitas,Evil Geniuses.NA,0 - 1,2,11.1,Akali,Taliyah,Lucian,Olaf,Camille,Pantheon,Nidalee,Renekton,Kai'Sa,Aphelios,Gnar,Graves,Thresh,Syndra,Yone,Orianna,Maokai,Zoe,Leona,Ryze,Jungle,Bot,Top,Mid,Support,Top,Bot,Jungle,Support,Mid,SB,https,//youtu.be/aFVfm3PzCgA?t=127
LCS/2021 Season/Lock In/Picks and Bans/Individual Games,100 Thieves,Team Liquid,1 - 0,1,11.1,Rell,Pantheon,Akali,Taliyah,Nidalee,Kai'Sa,Olaf,Lillia,Samira,Galio,Aphelios,Renekton,Gnar,Alistar,Gangplank,Orianna,Leona,Lulu,Aatrox,Cassiopeia,Jungle,Mid,Bot,Support,Top,Jungle,Bot,Top,Support,Mid,SB,https,//youtu.be/2ZiBdfExmhY?t=102
LCS/2021 Season/Lock In/Picks and Bans/Individual Games,Cloud9,Immortals,1 - 0,1,11.1,Camille,Olaf,Graves,Pantheon,Akali,Lucian,Taliyah,Kai'Sa,Kindred,Aphelios,Alistar,Gragas,Gangplank,Syndra,Yone,Rell,Orianna,Zoe,Aatrox,Jayce,Jungle,Bot,Support,Mid,Top,Bot,Jungle,Support,Mid,Top,SB,https,//youtu.be/GarW4gd8dj0?t=756
LCS/2021 Season/Lock In/Picks and Bans/Individual Games,Counter Logic Gaming,100 Thieves,1 - 0,1,11.1,Twisted Fate,Olaf,Galio,Pantheon,Nidalee,Akali,Taliyah,Renekton,Kai'Sa,Jhin,Gnar,Lillia,Leona,Syndra,Alistar,Lucian,Sett,Viktor,Rell,Orianna,Jungle,Bot,Top,Mid,Support,Top,Bot,Jungle,Support,Mid,SB,https,//youtu.be/pcHauegldAo?t=97
LCS/2021 Season/Lock In/Picks and Bans/Individual Games,Immortals,Dignitas,1 - 0,1,11.1,Renekton,Olaf,Lucian,Pantheon,Akali,Leona,Graves,Camille,Samira,Kai'Sa,Gragas,Galio,Rell,Taliyah,Alistar,Nidalee,Karthus,Viktor,Nautilus,Yone,Jungle,Bot,Top,Mid,Support,Top,Bot,Support,Jungle,Mid,SB,https,//youtu.be/FL0NQ8W3Afk?t=288
LCS/2021 Season/Lock In/Picks and Bans/Individual Games,FlyQuest,Cloud9,0 - 1,2,11.1,Akali,Renekton,Kai'Sa,Pantheon,Olaf,Taliyah,Nidalee,Kindred,Galio,Jhin,Leona,Camille,Jax,Syndra,Twisted Fate,Samira,Miss Fortune,Orianna,Fiora,Alistar,Jungle,Bot,Support,Mid,Top,Jungle,Mid,Top,Bot,Support,SB,https,//youtu.be/sm-wrUyhOKw?t=162
LCS/2021 Season/Lock In/Picks and Bans/Individual Games,Golden Guardians,TSM,0 - 1,2,11.1,Gangplank,Pantheon,Kai'Sa,Twisted Fate,Renekton,Olaf,Taliyah,Nidalee,Jhin,Camille,Galio,Gnar,Miss Fortune,Swain,Samira,Syndra,Orianna,Kalista,Thresh,Alistar,Jungle,Top,Mid,Bot,Support,Jungle,Bot,Top,Mid,Support,SB,https,//youtu.be/3NFrgS3ctu4?t=159
LCS/2021 Season/Lock In/Picks and Bans/Individual Games,Evil Geniuses.NA,Immortals,1 - 0,1,11.1,Akali,Pantheon,Kha'Zix,Olaf,Twisted Fate,Taliyah,Renekton,Kai'Sa,Lillia,Nidalee,Jhin,Lucian,Syndra,Leona,Viktor,Gnar,Gragas,Zoe,Thresh,Rell,Top,Jungle,Bot,Mid,Support,Bot,Jungle,Mid,Top,Support,SB,https,//youtu.be/3m7uAaB3AHE?t=839
LCS/2021 Season/Lock In/Picks and Bans/Individual Games,Counter Logic Gaming,Golden Guardians,0 - 1,2,11.1,Gragas,Olaf,Miss Fortune,Pantheon,Lillia,Samira,Akali,Kai'Sa,Graves,Jhin,Renekton,Twisted Fate,Taliyah,Gnar,Nidalee,Thresh,Gangplank,Sejuani,Alistar,Galio,Mid,Bot,Top,Jungle,Support,Bot,Jungle,Mid,Top,Support,SB,https,//youtu.be/M2-y2YL5lNY?t=133
LCS/2021 Season/Lock In/Picks and Bans/Individual Games,Dignitas,FlyQuest,1 - 0,1,11.1,Akali,Olaf,Lucian,Pantheon,Aphelios,Nidalee,Taliyah,Kai'Sa,Graves,Renekton,Samira,Ornn,Galio,Alistar,Twisted Fate,Syndra,Orianna,Leona,Yone,Rell,Jungle,Top,Bot,Support,Mid,Bot,Jungle,Top,Mid,Support,SB,https,//youtu.be/YE6UP-5zHZA?t=87
LCS/2021 Season/Lock In/Picks and Bans/Individual Games,Evil Geniuses.NA,Cloud9,1 - 0,1,11.1,Nidalee,Shen,Akali,Pantheon,Olaf,Taliyah,Graves,Lucian,Lillia,Kai'Sa,Syndra,Leona,Alistar,Samira,Sett,Aphelios,Yone,Renekton,Galio,Ornn,Jungle,Bot,Mid,Top,Support,Bot,Jungle,Support,Mid,Top,SB,https,//youtu.be/X-cLm7x_oIQ?t=317
